Argus v4 evolution (K-fold + slippage) — run v4, budget 10 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

K-fold: 4 folds within train slice
  Fold 0: 2010-08-18 → 2017-08-27 (650 bars)
  Fold 1: 2017-08-28 → 2019-06-08 (650 bars)
  Fold 2: 2019-06-09 → 2021-03-19 (650 bars)
  Fold 3: 2021-03-20 → 2022-12-31 (652 bars)

Gen    1 | fit   4.200 | fold Calmar 10.84/ 0.66/ 5.40/-0.10 | fold DD 35/25/20/24%
Gen 13451 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13456 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13461 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13466 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13471 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13476 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13481 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13486 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13491 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13496 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13501 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13506 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13511 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13516 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13521 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13526 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13531 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13536 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13541 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13546 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13551 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13556 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13561 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13566 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13571 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13576 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13581 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13586 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13591 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13596 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13601 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13606 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13611 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13616 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13621 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13626 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13631 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13636 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13641 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13646 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13651 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13656 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13661 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13666 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13671 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13676 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13681 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13686 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13691 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13696 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13701 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13706 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13711 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13716 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13721 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13726 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13731 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13736 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13741 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13746 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13751 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13756 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13761 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13766 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13771 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13776 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13781 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13786 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13791 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13796 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13801 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13806 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13811 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13816 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13821 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13826 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13831 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13836 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13841 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13846 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13851 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13856 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13861 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13866 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13871 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13876 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13881 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13886 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13891 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13896 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13901 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13906 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13911 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13916 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13921 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13926 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13931 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13936 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13941 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13946 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13951 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13956 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13961 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13966 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13971 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13976 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13981 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13986 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13991 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 13996 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14001 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14006 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14011 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14016 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14021 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14026 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14031 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14036 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14041 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14046 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14051 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14056 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14061 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14066 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14071 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14076 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14081 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14086 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14091 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14096 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14101 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14106 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14111 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14116 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14121 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14126 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14131 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14136 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14141 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14146 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14151 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14156 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14161 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14166 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14171 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14176 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14181 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14186 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14191 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14196 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14201 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14206 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14211 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14216 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14221 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14226 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14231 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14236 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14241 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14246 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14251 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14256 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14261 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14266 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14271 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14276 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14281 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14286 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14291 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14296 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14301 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14306 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14311 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14316 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14321 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14326 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14331 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14336 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14341 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14346 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14351 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14356 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14361 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14366 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14371 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14376 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14381 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14386 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14391 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14396 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14401 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14406 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14411 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14416 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14421 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14426 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14431 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14436 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14441 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14446 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14451 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14456 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14461 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14466 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14471 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14476 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14481 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14486 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14491 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14496 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14501 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14506 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14511 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14516 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14521 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14526 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14531 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14536 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14541 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14546 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14551 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14556 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14561 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14566 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14571 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14576 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
Gen 14581 | fit 149.890 | fold Calmar 597.22/ 0.40/ 1.26/ 0.67 | fold DD 21/30/34/22%
