Argus v5 (macro + geo-mean K-fold + event delay + slippage) — run v5, budget 10 min, seed 42

Data: 3951 bars, 71 curated events, 3951 macro rows
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Precomputed: indicators + event-state (1d delay) + macro state

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

K-fold: 4 folds within train slice
  Fold 0: 2010-08-18 → 2017-08-27 (650 bars)
  Fold 1: 2017-08-28 → 2019-06-08 (650 bars)
  Fold 2: 2019-06-09 → 2021-03-19 (650 bars)
  Fold 3: 2021-03-20 → 2022-12-31 (652 bars)

Gen    1 | fit   1.116 | fold Calmar  3.67/ 5.25/ 1.70/ 0.05 | fold DD  4/ 0/ 3/ 1%
Gen  401 | fit   8.237 | fold Calmar 27.85/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  406 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  411 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  416 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  421 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  426 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  431 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  436 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  441 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  446 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  451 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  456 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  461 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  466 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
