AXIS bot evolution — run v1, budget 3 minutes

Data: 3951 daily bars (2010-08-18 → 2026-09-10)
Indicators precomputed

Buy-and-hold baseline: $1000 → $1116200000 (111619900% total return)

Gen 656 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 661 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 666 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 671 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 676 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 681 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 686 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 691 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 696 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 701 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 706 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 711 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 716 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 721 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 726 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 731 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 736 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 741 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 746 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 751 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 756 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 761 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 766 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 771 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 776 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 781 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 786 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 791 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 796 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 801 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 806 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 811 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 816 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 821 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 826 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 831 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 836 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 841 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 846 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 851 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 856 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 861 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 866 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 871 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 876 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 881 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 886 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 891 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 896 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 901 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 906 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 911 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 916 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 921 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 926 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 931 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 936 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 941 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 946 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 951 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 956 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 961 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 966 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 971 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 976 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 981 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 986 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 991 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 996 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1001 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1006 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1011 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1016 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1021 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1026 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1031 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1036 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1041 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1046 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1051 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1056 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1061 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1066 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1071 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1076 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1081 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1086 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
