Argus v2 evolution — run v2, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen  266 | fit  10.155 | CAGR  286.9% | DD  28.2% | Calmar  10.15 | trades  396 | ✓
Gen  271 | fit  10.156 | CAGR  286.9% | DD  28.2% | Calmar  10.16 | trades  396 | ✓
Gen  276 | fit  10.160 | CAGR  287.0% | DD  28.2% | Calmar  10.16 | trades  396 | ✓
Gen  281 | fit  10.162 | CAGR  287.1% | DD  28.2% | Calmar  10.16 | trades  396 | ✓
Gen  286 | fit  10.162 | CAGR  287.1% | DD  28.2% | Calmar  10.16 | trades  396 | ✓
Gen  291 | fit  10.162 | CAGR  287.1% | DD  28.2% | Calmar  10.16 | trades  396 | ✓
Gen  296 | fit  10.162 | CAGR  287.1% | DD  28.2% | Calmar  10.16 | trades  396 | ✓
Gen  301 | fit  10.162 | CAGR  287.1% | DD  28.2% | Calmar  10.16 | trades  396 | ✓
Gen  306 | fit  10.162 | CAGR  287.1% | DD  28.2% | Calmar  10.16 | trades  396 | ✓
Gen  311 | fit  10.163 | CAGR  287.1% | DD  28.2% | Calmar  10.16 | trades  396 | ✓
Gen  316 | fit  10.163 | CAGR  287.1% | DD  28.2% | Calmar  10.16 | trades  396 | ✓
Gen  321 | fit  10.163 | CAGR  287.1% | DD  28.2% | Calmar  10.16 | trades  396 | ✓
Gen  326 | fit  10.166 | CAGR  287.2% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  331 | fit  10.167 | CAGR  287.2% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  336 | fit  10.169 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  341 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  346 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  351 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  356 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  361 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  366 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  371 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  376 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  381 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  386 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  391 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  396 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  401 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  406 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  411 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  416 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  421 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  426 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  431 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  436 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  441 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  446 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  451 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  456 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  461 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  466 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  471 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  476 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  481 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  486 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  491 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  496 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  501 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  506 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  511 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  516 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  521 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  526 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  531 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  536 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  541 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  546 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  551 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  556 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  561 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  566 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  571 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  576 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  581 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  586 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  591 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  596 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  601 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  606 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  611 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  616 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  621 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  626 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  631 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  636 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  641 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
