Argus v3 evolution (17-gene reduced) — run v3, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen    1 | fit   2.083 | CAGR   72.3% | DD  34.7% | Calmar   2.08 | trades   84 | ✓
Gen  551 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  556 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  561 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  566 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  571 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  576 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  581 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  586 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  591 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  596 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  601 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  606 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  611 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  616 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  621 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  626 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  631 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  636 | fit  13.770 | CAGR  222.7% | DD  16.2% | Calmar  13.77 | trades   82 | ✓
Gen  641 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  646 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  651 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  656 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  661 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  666 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  671 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  676 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  681 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  686 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  691 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  696 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  701 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  706 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  711 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  716 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  721 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  726 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  731 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  736 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  741 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  746 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  751 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  756 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  761 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  766 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  771 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  776 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
